Time(Iteration),CAB_2_3,CAB_original,CAB_optimal,CAB_5_6
74,135.746357469,47.2124017742,32.0635768802,125.43944453
75,136.857840494,47.309876087,32.0988404539,126.799589021
76,138.218129692,47.3334654971,32.117381719,128.452029637
77,139.296763396,47.3430278658,32.1269440877,129.76061915
78,139.879465457,47.508114487,32.1573828366,130.357480974
79,140.376403506,47.5195624384,32.1688307881,130.944028504
80,141.549369231,47.5237202126,32.1729885623,132.301867424
81,142.604817371,47.5911322916,32.2217514649,133.906886338
82,144.171796913,47.5911322916,32.2217514649,135.937319499
83,145.04717562,47.5925801878,32.2295517547,137.867826601
84,145.711913689,47.618191913,32.2295517547,139.500095269
85,146.8252656,47.6951907372,32.2712162912,140.914113414
86,148.377825355,47.7670152002,32.2740989275,142.986065818
87,149.720911596,47.8157614267,32.3228451539,144.644107759
88,150.809527493,47.8204289392,32.3275126664,145.806172977
89,152.030409809,47.8700961239,32.3709684393,147.156385822
90,153.04129195,48.0437358805,32.4853166875,148.28150756
91,153.895867715,48.123633847,32.565214654,149.398963308
92,154.877570619,48.2357066313,32.6108865976,150.391714564
93,156.267863739,48.2357066313,32.6108865976,152.040827932
94,157.485833247,48.2674494687,32.6590285468,153.121922923
95,158.973145645,48.3127276392,32.6762079487,154.639614158
96,160.352330368,48.3304332051,32.6806581754,156.02111747
97,161.353079542,48.3703920035,32.719179789,157.040326798
98,162.476654569,48.3747739795,32.7246345523,157.956685331
99,163.037728621,48.4648088465,32.7895293965,158.727801113
100,164.123322721,48.4828067062,32.8221016172,159.67956217
101,165.648526835,48.516114226,32.855409137,160.703926166
102,166.71219598,48.5568858715,32.8737263037,161.85466218
103,168.251823004,48.8046531835,32.9058427811,163.475680705
104,169.070713003,48.8334823164,32.9347400289,164.153671666
105,170.660729122,48.8597695684,32.9399205622,165.542223703
106,171.750289789,48.9380923389,32.9441748101,166.790826278
107,173.06310101,48.9380923389,32.9441748101,168.103637499
108,175.005162933,48.9750468213,32.9811292925,169.757591393
109,176.5931706,48.9753238104,32.9912995598,171.451614812
110,177.955142205,49.0556733353,32.9912995598,172.813586417
111,179.118597933,49.0923961863,33.0748381875,174.053873702
112,180.787743161,49.1001360221,33.0825780234,175.372877733
113,181.501127495,49.1654861016,33.0825780234,175.803803961
114,183.829330215,49.1883654643,33.0825780234,176.885850592
115,185.530703349,49.198214828,33.092427387,177.964811386
116,186.55429164,49.2384543773,33.1249162695,178.27373609
117,188.009378677,49.2771936779,33.1390202608,178.963561739
118,189.492899905,49.2899449874,33.2139334363,179.669053928
119,191.062230146,49.3128997895,33.241960145,180.437306957
120,192.647465102,49.3320257278,33.2455528773,181.036090526
121,193.540989836,49.3744846592,33.2583649793,181.92961526
122,195.554531161,49.4085545819,33.292434902,183.472574064
123,196.776915277,49.4085545819,33.292434902,184.282876
124,197.543047267,49.5582583802,33.3156505336,185.112290163
125,198.77955901,49.5880012105,33.335408454,186.417575443
126,200.364179799,49.5880012105,33.335408454,187.928890708
127,202.117110341,49.6000762263,33.3388237612,189.681821251
128,203.423500555,49.7155062706,33.4164470249,190.933693402
129,204.967714077,49.7556048664,33.4228811047,192.076887719
130,206.070935314,49.924805213,33.5920814513,192.907082812
131,207.74524947,50.0036639208,33.6709401592,194.319035548
132,208.632470819,50.0140261189,33.6772012212,195.214681979
133,210.241944697,50.1082735028,33.768568938,197.275687572
134,211.531277201,50.1338797352,33.768568938,198.285401408
135,212.473743633,50.1437518391,33.768568938,199.072927106
136,213.059389969,50.1438515999,33.7686686988,199.658573442
137,214.151032534,50.2749354848,33.7994506113,200.711532155
138,215.224956436,50.2951903317,33.7994506113,201.71402863
139,215.817514464,50.2964762891,33.8007365688,202.306586657
140,216.474700611,50.3009638692,33.8007365688,202.906586696
141,218.161444891,50.3160394838,33.8067454804,203.467901616
142,219.323124494,50.3160394838,33.8182817827,203.813977739
143,221.667854931,50.3374998399,33.8397421389,204.391528072
144,222.581850439,50.4620630913,33.9523258763,204.516091323
145,224.564130144,50.5649676969,34.049635985,205.226419958
146,225.815141838,50.6781825864,34.148020837,205.645631017
147,227.446169748,50.6781825864,34.148020837,205.851553254
148,229.334489233,50.6781825864,34.148020837,206.414331496
149,231.128134029,50.8105290618,34.148020837,207.275484119
150,232.937496339,50.8105290618,34.148020837,208.184495582
151,233.172017043,50.9933840246,34.3308757998,208.878169847
152,233.290892676,51.0409934372,34.3846091611,209.582850949
153,233.297600144,51.1154420928,34.4590578167,210.275861782
154,233.398465877,51.172197228,34.4925922368,210.813051558
155,233.441530239,51.2522092362,34.6382306777,211.219468044
156,233.467705648,51.2540962587,34.6401177003,212.076687399
157,233.479770449,51.2540962587,34.6401177003,212.590465277
158,233.597294235,51.305411717,34.6497908308,213.083157491
159,233.604134353,51.3596963041,34.6566309487,213.560880799
160,233.659107261,51.3672349927,34.7095097287,214.134335545
161,233.668321769,51.3672349927,34.7095097287,216.577642138
162,233.668321769,51.3672349927,34.7095097287,218.598972628
163,233.668321769,51.3672349927,34.7095097287,220.057321543
164,233.709142437,51.3672349927,34.72949251,221.457225845
165,233.745999737,51.4188406956,34.7767408413,223.444642477
166,233.79218955,51.4344366287,34.7902896528,224.421997411
167,233.792237764,51.4523413408,34.7903378668,225.399842453
168,233.792237764,51.4711097566,34.803361018,226.548167237
169,233.795441517,51.4743135099,34.8065647713,226.55137099
170,233.830542248,51.4856098571,34.8178611185,226.593687976
171,233.886471638,51.5159893913,34.8462877817,226.62562551
172,233.905411403,51.5205997762,34.8733026989,226.635714199
173,233.951759019,51.5205997762,34.8733026989,226.709907812
174,233.968434612,51.5205997762,34.8758388913,226.732387239
175,233.993720465,51.644767585,34.8976951388,226.757673093
176,233.993720465,51.644767585,34.8976951388,226.757673093
177,233.994155502,51.70007424,34.8979664853,226.758108129
178,234.035869915,51.70007424,34.8979664853,226.781340794
179,234.114000738,51.7782050629,34.9760973083,226.859471617
180,234.144948779,51.8091531036,35.0070453489,226.890419658
181,234.144948779,51.872082936,35.0440525857,226.890419658
182,234.145295994,51.8724301507,35.0595551741,226.890419658
183,234.148005226,51.8930139191,35.0622644064,226.89312889
184,234.150418645,51.8933389288,35.062589416,226.895867318
185,234.167774415,51.9023288259,35.0633999021,226.913223089
186,234.167774415,51.9408807976,35.0650015728,226.913223089
187,234.167774415,51.9612290688,35.0650015728,226.913223089
188,234.198037728,51.9612290688,35.0705513921,226.935098793
189,234.198037728,51.9641510571,35.0734733805,226.941090532
190,234.218568259,51.9790588339,35.0883811573,226.962733699
191,234.219342608,51.9790588339,35.0883811573,226.963508047
192,234.240842483,51.993856453,35.0883811573,226.963508047
193,234.257237473,51.993856453,35.0883811573,227.005675088
194,234.273971082,52.011955903,35.0932023623,227.010679844
195,234.278318208,52.011955903,35.0932023623,227.015026969
196,234.2923352,52.0222428907,35.1034893499,227.029043961
197,234.29321481,52.023122501,35.1043689602,227.029923571
198,234.301262943,52.027489663,35.1087361222,227.059439219
199,234.301262943,52.0319427661,35.1087361222,227.059439219
