Time(Iteration),CAB_idealNew,CAB_original,CAB_optimal,LinUCB
49,117.141452401,215.273227179,68.1010171818,93.9412771808
50,117.450893002,217.422301535,68.6194615526,94.9797563163
51,117.621208501,219.210790694,69.0688373068,95.5416990543
52,117.93315138,221.487243113,69.6556693299,96.296073697
53,118.227607983,223.820714937,70.1220896774,96.9595788382
54,118.442520608,226.68808594,70.3751852617,97.7121309592
55,118.671911573,230.430012917,70.8242199079,98.3715490471
56,119.839032945,232.804703049,71.4640065492,98.9615971614
57,120.147270634,235.74132469,71.8874881928,99.6260391686
58,120.951855183,238.364396492,72.4926875598,100.333371074
59,121.09929402,240.076019999,72.8659100641,101.153321775
60,121.562215712,241.453237561,73.013093572,101.867886197
61,121.791903267,243.315587777,73.1864664064,102.10719166
62,122.063883012,245.263779951,73.6095535809,102.764343499
63,122.563676761,246.782588617,73.8400850149,103.111804226
64,122.678423355,248.064997676,73.9524896151,103.969148719
65,123.51884239,250.130924109,74.4416255681,104.490411206
66,124.287745443,251.948513714,75.0822505674,104.999288735
67,124.471356075,254.108124458,75.3511624928,105.481722423
68,124.800308658,255.794364283,75.6905651797,105.95556729
69,125.405494307,257.380576863,76.0753133011,106.361210626
70,125.711267899,258.931889026,76.2464362168,106.69871689
71,125.99426705,260.776457521,76.4125816435,107.109630606
72,126.846351377,263.164950278,76.8352506708,107.747804229
73,127.127369214,264.685766285,77.2688946432,108.18461897
74,127.315004063,265.820160247,77.7074732099,108.63498944
75,127.964711485,267.550315005,78.2782547179,109.011439079
76,128.523210159,270.33674803,78.7976348332,109.440423226
77,128.885000747,272.226388187,79.1417438584,110.075205789
78,129.018601808,273.722593355,79.3243678234,110.512933857
79,129.187420599,274.905885367,79.4724653277,110.821520806
80,129.335553814,276.299833323,79.7437701381,111.12597168
81,129.501719815,277.705004332,79.8212749632,111.31703689
82,129.763981022,279.374050476,79.9618843189,111.653020913
83,130.222408313,281.090557684,80.2768434202,112.265152233
84,130.341128319,282.349934569,80.3982254755,112.475435915
85,130.57194693,283.836785713,80.5695325177,112.843571792
86,130.812699937,284.650121653,80.7506159032,113.04139063
87,130.980256948,285.695342416,81.043383913,113.497935201
88,131.208070604,287.274034554,81.1981268231,114.046122644
89,131.71477938,288.121506443,81.3803449402,114.612758873
90,132.056332851,290.038986549,81.6112530666,115.064096862
91,132.235250984,291.512622765,81.7556893315,115.451336369
92,132.476139813,292.532710549,81.8501564272,115.711681774
93,132.743490313,294.385263293,82.0670500113,116.296790388
94,133.441656937,296.034009681,82.402018609,116.872451019
95,133.672976595,297.100924868,82.5570286791,117.083946679
96,134.124075464,298.765326258,82.9078694545,117.394740121
97,134.251724453,300.410085302,82.9220405444,117.634878791
98,134.543435262,301.70322982,83.0380070725,117.87906936
99,134.977887152,302.527493575,83.1294807584,118.251958762
100,135.466053585,303.555001031,83.4539312428,118.705403262
101,135.61066062,304.390546224,83.5711262194,118.775940346
102,136.056332381,305.325163085,83.8511238587,119.026741581
103,136.2488183,307.246779366,83.9385994929,119.09210491
104,136.511246375,308.366727823,84.0317747605,119.195710358
105,136.663834004,309.922664858,84.1512044096,119.44474459
106,136.953291976,311.491927311,84.3264896411,119.810472957
107,137.258182282,312.818800606,84.5817700794,120.280862341
108,137.443322966,314.083670927,84.6310163741,120.744622276
109,137.863695134,314.687040628,84.9666559132,121.201520433
110,137.962457259,315.788057463,85.0486797235,121.638263191
111,138.300717584,317.539256924,85.352311376,121.785267091
112,138.499195944,319.318193542,85.3790790008,122.491178353
