Time(Iteration),CAB_5_2CoTheta,CAB_3_1CoTheta,CAB_originalCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
55,0.382758870043,0.389379614112,0.412613793702,0.45270771097,0.412533148893,,,,,,
56,0.376775302875,0.385017292464,0.408733859857,0.449882697862,0.407718906067,,,,,,
57,0.375762844272,0.383707404393,0.407794360954,0.448406856757,0.405751426255,,,,,,
58,0.371620916581,0.376979281944,0.405059890704,0.446158163555,0.404689291772,,,,,,
59,0.369821915327,0.373790366964,0.402404579833,0.439505900735,0.401852788042,,,,,,
60,0.363830697486,0.365972384138,0.399080278796,0.434428944054,0.398583552217,,,,,,
61,0.360775446598,0.357253015031,0.398500602717,0.43083969694,0.39727598373,,,,,,
62,0.359024515105,0.354479453478,0.394269388339,0.426683878169,0.393478006239,,,,,,
63,0.357574573509,0.351841892467,0.387501890892,0.420602939,0.384617749934,,,,,,
64,0.355453940234,0.347316894038,0.384758113464,0.415973209316,0.38112469071,,,,,,
65,0.351472116748,0.345744032484,0.381817111544,0.414515446724,0.379711475132,,,,,,
66,0.348957377773,0.342093884636,0.379338641759,0.411517947047,0.370908743507,,,,,,
67,0.346690203863,0.34030596763,0.379324439949,0.410510932105,0.369511064352,,,,,,
68,0.34395498096,0.335506146629,0.378739702452,0.407458748545,0.364980346636,,,,,,
69,0.341691416405,0.333374567639,0.37733548682,0.404668462779,0.362828661404,,,,,,
70,0.337333244382,0.331400575514,0.375704969602,0.402694110267,0.359918187823,,,,,,
71,0.33162245596,0.327503486431,0.36698916988,0.393194817308,0.35071524572,,,,,,
