Time(Iteration),CAB_5_2,CAB_3_1,CAB_original,CAB_optimal,LinUCB
50,84.015762724,71.8705519346,45.8853305091,30.175151514,47.3531562434
51,84.9761450714,72.2716167576,45.9992575775,30.2317467295,47.4677267808
52,85.7212291172,72.6007847279,46.1283522961,30.3394597032,47.5099526301
53,86.1913969816,72.8433258624,46.3905034644,30.5694079822,47.7537360798
54,87.2238494244,73.3655593636,46.4547329221,30.6960948964,47.9153817325
55,88.0744934134,73.7348212916,46.5702824698,30.7883578198,47.9417219646
56,89.2212447199,74.4050223226,46.779624108,30.9266841759,48.0721306882
57,89.7121573571,74.6582435146,46.8583430283,31.0012023648,48.146648877
58,91.0758244734,75.3007660684,46.9876546596,31.0899748894,48.3015039305
59,91.8907776912,75.6410008069,47.1576577661,31.3630436942,48.4137020391
60,92.9585466711,76.1006206378,47.4745820281,31.5610164382,48.4754286249
61,93.8869845695,76.5735974831,47.5543171343,31.5949854258,48.5120038203
62,94.7631273694,77.1302870427,47.6355605089,31.670627114,48.5929576122
63,95.3985663607,77.5282413098,47.6808064529,31.8222515581,48.7016575794
64,96.6016847088,77.949929683,47.846455613,31.8326661674,49.0146091735
65,97.8201873374,78.2661686949,47.9817761223,31.8908563087,49.1125686621
66,98.6263071614,78.5314920365,48.0516046493,31.9606848356,49.1293274599
67,98.8466193105,79.2773214091,48.0856188193,31.9842716396,49.2037631828
68,98.9554116681,80.1403070342,48.1658456398,31.9842716396,49.2037631828
69,99.4652374193,81.037112868,48.3101603357,32.0454226593,49.3688012668
70,99.9823074884,81.9443382862,48.3107630662,32.0460253897,49.3758866199
71,100.278635359,83.6376491108,48.3730249893,32.0630611764,49.5636862633
72,100.399843054,84.7605555042,48.3822305893,32.0724347496,49.5743786563
73,100.547837331,85.3252736421,48.5570012,32.1462718328,49.6833001932
74,100.917487547,86.2766619768,48.5570012,32.1462718328,49.6862746867
75,101.326572108,87.3661236825,48.6038692204,32.1856000583,49.812325192
76,101.345856016,88.4990308351,48.6100970626,32.1928171989,49.8817725644
77,101.561161947,88.9592638057,48.7337521879,32.3217612446,50.0375292627
78,101.615986788,89.6229208999,48.8230363955,32.4426397268,50.1584077449
79,101.947521948,90.4123938233,48.9908366191,32.5333514659,50.3548492813
80,102.483050547,91.5263580829,49.0712006936,32.6137155403,50.4105792634
81,102.809459861,92.5016866901,49.0924340982,32.6244295729,50.462203227
82,103.305205079,93.5074736965,49.2571564889,32.6345633067,50.546594011
83,104.023780565,94.4000326537,49.352260872,32.7296676898,50.6037635477
84,104.772545611,95.3338565296,49.389764472,32.7386913007,50.6127871587
85,105.122640917,95.7798197626,49.4810573224,32.8262283818,50.704080009
