Time(Iteration),LinUCB_new,LinUCB
109,111.647153105,116.465133263
110,111.698367997,116.516348155
111,111.774167158,116.661473149
112,111.81254514,116.669879969
113,112.327156973,117.214807077
114,112.537800172,117.4634907
115,112.581196195,117.472166689
116,112.762555979,117.677796864
117,112.79842146,117.704364498
118,112.872228883,117.775896162
119,112.872228883,117.775896162
120,113.027044056,117.930711335
121,113.103949373,117.965339286
122,113.149436021,118.100955481
123,113.172001141,118.123520601
124,113.23831825,118.342692448
125,113.241890457,118.346264656
126,113.241890457,118.359860076
127,113.249112691,118.645296008
128,113.33954935,118.7670469
129,113.431797615,118.987969961
130,113.493160272,119.094716605
131,113.746231933,119.100038797
132,113.748867631,119.136038863
133,113.748867631,119.136038863
134,113.784234547,119.163042234
135,113.899889904,119.294460646
136,113.976287506,119.370858248
137,114.123206758,119.632007865
138,114.347013496,119.850059756
139,114.474458369,120.074014937
140,114.489756945,120.074576758
141,114.552064897,120.169187895
142,114.569796632,120.36840459
143,114.573916262,120.387528966
144,114.661381919,120.474994623
145,114.868973565,120.682586269
146,114.994521228,120.732036909
147,114.998908597,120.768689578
148,115.028306112,120.776863969
149,115.069929582,120.829792872
150,115.274218269,121.034081559
151,115.343200255,121.103063545
152,115.350176848,121.109152539
153,115.618096691,121.128705946
154,115.675191537,121.128705946
155,115.796290176,121.142746332
156,115.800805553,121.466622245
157,115.809411033,121.475227725
158,115.809411033,121.532617347
159,115.861825233,121.585031547
160,115.953511348,121.595689522
161,116.212054003,121.725925733
162,116.345479978,121.839969803
163,116.345479978,121.839969803
164,116.345479978,121.839969803
165,116.379242354,121.839969803
166,116.491670498,121.856857153
167,116.512787187,122.049178143
168,116.756113313,122.185997075
169,116.890568623,122.19306624
170,116.922988923,122.198497624
171,116.988320708,122.263829409
172,117.220115005,122.495623705
173,117.287416461,122.58720236
174,117.480825839,122.70945308
175,117.546050509,122.77467775
176,117.65831409,122.77467775
177,117.717878388,122.805587372
178,117.717878388,122.810263169
179,117.717878388,122.810263169
180,117.913871341,123.07462601
181,117.979404248,123.283448047
182,117.979404248,123.297305459
183,118.119308648,123.43720986
184,118.119308648,123.447282174
185,118.370934211,123.566719894
186,118.468975382,123.576421088
187,118.623957599,123.610203276
188,118.709638037,123.695883714
189,118.874763907,123.740208927
190,118.878913017,123.744358037
191,118.884299522,123.755149318
192,118.886251129,123.757100925
193,118.886251129,123.757100925
194,118.912437619,124.014713944
195,118.98936312,124.014713944
196,119.056822694,124.082773895
197,119.091935484,124.135622752
198,119.108562381,124.152249649
199,119.171193886,124.152814293
