Time(Iteration),CAB_2_3,CAB_original,CAB_optimal,CAB_5_6
43,96.0745845295,42.2547776426,25.6810452327,75.2893152439
44,98.0782845801,42.5639586867,25.6873659374,77.1821070459
45,99.0811213044,42.8708269401,25.7900480987,78.0627122233
46,100.271203994,43.0464799218,25.8767257679,79.2527949132
47,101.969518094,43.2737844345,25.949863505,80.7535927228
48,103.563448545,43.6415508139,26.3053766795,82.3621808838
49,105.760094684,44.3340467998,26.3464011193,85.1422993122
50,107.668974223,44.9896804457,26.4482563447,86.7004134043
51,109.06280254,45.381306459,26.4932803791,88.0942417215
52,109.83499371,45.4992621127,26.7587423713,88.7700956834
53,111.357407301,45.4992621127,26.7587423713,90.133747752
54,112.441849405,45.67373562,26.9323484176,91.0007361045
55,114.148642201,45.9201239028,27.1492639824,92.5955962696
56,116.633049399,45.9981253887,27.1492639824,94.5257235036
57,117.86442455,46.1329239303,27.1680137468,95.3516496937
58,119.281038754,46.3112945736,27.1727052444,96.4332771542
59,120.966028165,46.4839772145,27.1755179867,97.4277486289
60,122.821193481,46.7865936255,27.2291801161,99.2829139443
61,124.865782464,47.0177610943,27.2332455339,100.849884708
62,126.63518086,47.4280936183,27.3217599273,102.426253405
63,128.678552006,47.5537831126,27.5202219898,104.215202588
64,130.47010368,47.5647687568,27.5202219898,105.711248695
65,132.951088911,47.6539558887,27.6703799628,107.715361813
66,134.522182287,47.8709382105,27.7058952533,108.992666999
67,135.900513815,48.1432087645,27.7232794663,110.370998527
68,136.852719205,48.5164893732,27.8072201757,111.233484343
69,138.399969931,48.5605522414,27.8072201757,113.052810173
70,139.239136689,48.8039991926,27.90193895,113.823776384
71,140.398926102,49.0624155617,27.96321758,115.071831795
72,141.410073987,49.2439279303,27.9632718859,116.08297968
73,142.430216186,49.4635112059,27.9810454432,117.082755439
74,143.238341991,49.5776032677,27.9930826172,117.873334504
75,144.713202084,49.9288991405,28.190973654,119.736157387
76,145.696010175,50.1017316478,28.2151825828,120.983551995
77,147.009641771,50.2530537686,28.2288185456,122.336872692
78,147.653252541,50.3626656427,28.2728075182,122.867783084
79,148.929665961,50.8175265421,28.388078661,124.111766546
80,150.222749244,50.9608129056,28.4115455031,125.534969336
81,151.634784849,51.1031041781,28.4370942696,127.177015803
82,153.587403325,51.528685403,28.5658766687,129.410735821
83,155.357460575,51.5517163759,28.5658766687,131.544269388
84,156.209428058,51.6197709757,28.5765986746,132.51360564
85,156.9332644,51.6197709757,28.5765986746,133.416313752
86,157.800094279,51.7085221177,28.5866505076,134.337481779
87,158.424929131,51.9524899135,28.6526795223,136.24545853
88,159.716582809,52.5171733978,28.7669532615,139.195619415
89,161.838736705,52.6536627471,28.9022425619,141.799736597
90,163.476862782,53.0383976338,28.9891751464,143.669737683
91,164.067976501,53.1686552981,28.9963324656,144.979899972
92,164.841152733,53.2007483893,29.0551502784,146.60470465
93,166.451790397,53.3369295391,29.0599960664,148.484380903
94,167.574302565,53.4161378526,29.0898827158,150.398452709
95,168.566840933,53.5056571097,29.1264744143,152.093105087
96,169.19884316,53.5180521847,29.1380517951,153.79914624
97,170.457165423,53.618974748,29.1597496705,155.410563608
98,171.67468627,53.7045232575,29.1690612717,157.018410646
99,172.268097418,53.787315373,29.1724433126,158.480512772
100,173.503556774,53.9779507343,29.3630786738,159.646674377
101,175.954368617,54.058801777,29.3650768189,160.810735016
102,178.869808373,54.252798825,29.3821740871,161.518963712
103,181.868403084,54.455891129,29.4051390941,162.905481038
104,183.890938831,54.4943615549,29.4071281785,164.341958814
105,186.247457732,54.6987089599,29.4537561762,165.460144801
