Time(Iteration),CABDiff,CAB
80,61.6136269102,61.6136269102
81,61.9193673309,61.9193673309
82,62.086818019,62.086818019
83,62.129253003,62.129253003
84,62.14884465,62.14884465
85,62.1496539267,62.1496539267
86,62.1496539267,62.1496539267
87,62.1556011435,62.1556011435
88,62.2070474316,62.2070474316
89,62.2527082984,62.2527082984
90,62.2622187214,62.2622187214
91,62.2622187214,62.2622187214
92,62.2861321234,62.2861321234
93,62.4160676083,62.4160676083
94,62.4464238659,62.4464238659
95,62.4780184568,62.4780184568
96,62.5112295395,62.5112295395
97,62.5585043508,62.5585043508
98,62.6073025621,62.6073025621
99,62.6720965741,62.6720965741
100,62.8188583817,62.8188583817
101,62.8311179111,62.8311179111
102,62.8415055745,62.8415055745
103,62.8415055745,62.8415055745
104,62.894071321,62.894071321
105,63.0489134182,63.0489134182
106,63.074805401,63.074805401
107,63.1942514066,63.1942514066
108,63.1942514066,63.1942514066
109,63.384439635,63.384439635
110,63.5173144742,63.5173144742
111,63.5493647702,63.5493647702
112,63.7020306918,63.7020306918
113,63.7044250735,63.7044250735
114,63.8068655784,63.8068655784
115,63.8926653473,63.8926653473
116,63.9180467231,63.9180467231
117,63.9344934704,63.9344934704
118,63.9571255073,63.9571255073
119,63.9571255073,63.9571255073
120,63.9668591693,63.9668591693
121,64.0802463568,64.0802463568
122,64.2046837202,64.2046837202
123,64.2046837202,64.2046837202
124,64.2382646759,64.2382646759
125,64.2429733827,64.2429733827
126,64.2429733827,64.2429733827
127,64.2687988141,64.2687988141
128,64.4627856276,64.4627856276
129,64.4627856276,64.4627856276
130,64.526261928,64.526261928
131,64.526261928,64.526261928
132,64.5611323378,64.5611323378
133,64.5611323378,64.5611323378
134,64.596632596,64.596632596
135,64.6555973688,64.6555973688
136,64.6555973688,64.6555973688
137,64.705894513,64.705894513
138,64.724908511,64.724908511
139,64.724908511,64.724908511
140,64.7649167191,64.7649167191
141,64.8325921627,64.8325921627
142,64.9018242376,64.9018242376
143,64.9018242376,64.9018242376
144,64.9322685296,64.9322685296
145,64.9391466191,64.9391466191
146,64.9899865522,64.9899865522
147,65.1803845258,65.1803845258
148,65.1886471231,65.1886471231
149,65.1906163986,65.1906163986
150,65.1908021443,65.1908021443
151,65.2135885756,65.2135885756
152,65.2229026872,65.2229026872
153,65.2352996376,65.2352996376
154,65.2432543274,65.2432543274
155,65.2432543274,65.2432543274
156,65.2672312431,65.2672312431
157,65.2989651322,65.2989651322
158,65.2989651322,65.2989651322
159,65.3316556354,65.3316556354
160,65.3827122306,65.3827122306
161,65.3977911002,65.3977911002
162,65.3978688005,65.3978688005
163,65.3978688005,65.3978688005
164,65.3978688005,65.3978688005
165,65.4026216525,65.4026216525
166,65.4168241461,65.4168241461
167,65.4191508563,65.4191508563
168,65.4370352705,65.4370352705
169,65.4645436842,65.4645436842
170,65.4645436842,65.4645436842
171,65.4645436842,65.4645436842
172,65.4645436842,65.4645436842
173,65.4838688651,65.4838688651
174,65.4838688651,65.4838688651
175,65.4843995254,65.4843995254
176,65.4935697128,65.4935697128
177,65.5099734209,65.5099734209
178,65.5116223803,65.5116223803
179,65.5438395,65.5438395
180,65.5438395,65.5438395
181,65.5438395,65.5438395
182,65.548193789,65.548193789
183,65.5521370994,65.5521370994
184,65.5750641047,65.5750641047
185,65.576070028,65.576070028
186,65.576070028,65.576070028
187,65.578324527,65.578324527
188,65.6321798592,65.6321798592
189,65.637237203,65.637237203
190,65.6599456807,65.6599456807
191,65.6632923694,65.6632923694
192,65.6632923694,65.6632923694
193,65.6646534501,65.6646534501
194,65.6646534501,65.6646534501
195,65.6646534501,65.6646534501
196,65.6659975195,65.6659975195
197,65.6659975195,65.6659975195
198,65.6659975195,65.6659975195
199,65.6686048261,65.6686048261
