Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
71,59.1226397151,59.007303703,40.228792509,51.7759128585
72,59.2667891115,59.2709913661,40.3533476983,51.9004680478
73,59.3753549839,59.4471442303,40.4729208637,51.9679828127
74,59.6760343367,59.5267080556,40.5242496919,51.9945670625
75,59.8143479327,59.8249654924,40.8043846385,52.2812696611
76,60.0174359096,60.0246173072,40.99081498,52.3961328003
77,60.0527258527,60.1011844535,41.0453581097,52.4563575569
78,60.1010974379,60.1278110063,41.1488739555,52.504729142
79,60.1304768629,60.1571904313,41.1782533805,52.534108567
80,60.1372115023,60.1891989891,41.2380632795,52.5693244576
81,60.2237229548,60.3513078519,41.2924930696,52.5811089597
82,60.2284350861,60.3910937397,41.293118391,52.5817342812
83,60.3039102161,60.3910937397,41.3336778615,52.5982362123
84,60.3330784798,60.4254230205,41.3875405248,52.6240517624
85,60.4795357432,60.4421437204,41.4866274626,52.7398594001
86,60.5506560232,60.4421437204,41.5267944372,52.7800263747
87,60.64180171,60.5451332608,41.64267183,52.8627483941
88,60.6682517014,60.5742305298,41.6624190301,52.8824955943
89,60.7516259493,60.6926138549,41.6844622472,52.9045388113
90,60.7516259493,60.6982957553,41.6844622472,52.9045388113
91,60.8570697621,60.8431444304,41.7290439564,53.1541852763
92,60.911300598,60.8627835033,41.766792114,53.2340870766
93,60.9602095933,61.0171611505,41.8157011093,53.2707081165
94,60.9807979649,61.0455722534,41.8642581587,53.2858806283
95,60.9915783776,61.0731028766,41.8642581587,53.316380688
96,61.0192118031,61.1555889771,41.8715870107,53.3552537656
97,61.0337658618,61.2893234097,41.8814559055,53.4667662269
98,61.0449112976,61.3004688455,41.8851611548,53.4752099892
99,61.0538203321,61.333107949,41.8960941895,53.5068165865
100,61.1585839135,61.4828771824,41.9683852986,53.6115801679
101,61.2038782268,61.5268206186,41.995580482,53.6393578693
102,61.2113493469,61.5676520981,42.0056181416,53.673132396
103,61.263983245,61.5817448683,42.0582520397,53.7257662941
104,61.2977313054,61.6235392494,42.0634738543,53.7609422183
105,61.6021336467,61.6490051614,42.1138984593,53.8506285797
