Time(Iteration),CAB_true_increase,CAB_original,CAB_true_decrease,CAB_optimal,LinUCB
106,51.132014886,56.0557162003,39.8456896405,37.8316286738,61.6590358969
107,51.1398792765,56.0669531216,39.891258866,37.8428655951,61.8129472747
108,51.2036665295,56.1307403746,39.9196228087,37.9066528481,61.8533753834
109,51.2077473059,56.2195189154,39.9330508165,37.9066528481,61.9411018132
110,51.2098297205,56.2345517522,39.9460012387,37.9087352627,61.9411018132
111,51.2933100887,56.2345517522,39.9509827786,37.9087352627,62.0295637214
112,51.3295774911,56.2708191546,39.9509827786,37.9450026652,62.0295637214
113,51.3955796889,56.3284503034,39.9720927192,38.002633814,62.1352678906
114,51.3955796889,56.45050048,39.9857727496,38.0157774346,62.2567816575
115,51.4369182303,56.4992590849,39.9984291702,38.0157774346,62.3565333607
116,51.4369182303,56.5192023313,40.0183724167,38.0157774346,62.3565333607
117,51.4458178293,56.5354488563,40.0304520262,38.0367566432,62.374300843
118,51.4600152457,56.5588335303,40.0407141391,38.0509540596,62.4148836573
119,51.4750038199,56.6267723509,40.047689411,38.0584476723,62.4399588222
120,51.4752257034,56.6553705999,40.0953200617,38.0586695558,62.5202055781
121,51.4768608788,56.6615058206,40.0969552371,38.0603047312,62.5263407988
122,51.5027878167,56.7277506914,40.1197358712,38.0795490335,62.5925856696
123,51.5265874052,56.7597797316,40.1435354596,38.103348622,62.6163852581
124,51.5379169757,56.8223485301,40.2140825478,38.1072395531,62.675500266
125,51.5593420084,56.8610136349,40.242976314,38.1286645858,62.7117302209
126,51.6177363113,56.9244980202,40.347016383,38.2040433182,62.7987858606
127,51.6434861063,56.9459603915,40.3641266161,38.222665181,62.8913810501
128,51.6645287594,57.016783015,40.3646481751,38.2231867401,62.9622036736
129,51.728901538,57.0565764285,40.374386083,38.232924648,62.9859500445
130,51.7334666635,57.061141554,40.3789512086,38.2374897736,62.9905151701
131,51.8460659315,57.173740822,40.4472535129,38.3500890415,63.0588174744
132,51.8676863904,57.2930235258,40.4688739717,38.4091096356,63.1297101994
133,51.9446937717,57.3820951017,40.5458813531,38.4861170169,63.2067175808
134,51.9446937717,57.3820951017,40.5458813531,38.4861170169,63.2067175808
135,51.9590974719,57.4097590183,40.5602850533,38.5005207171,63.221121281
136,51.9590974719,57.4283917426,40.5602850533,38.5005207171,63.223763452
137,52.0484145135,57.5243718178,40.661038632,38.5898377587,63.3114604426
138,52.0528364829,57.6225434843,40.6969221233,38.5942597281,63.3158824121
139,52.0528364829,57.6225434843,40.7042105464,38.5942597281,63.3158824121
140,52.0606802533,57.6346933469,40.7120543168,38.6021034985,63.3237261825
141,52.0625902059,57.7495835951,40.826944565,38.6040134511,63.4386164307
142,52.0962336635,57.7884233991,40.8516179568,38.6234904965,63.485920628
143,52.0962336635,57.7964093455,40.8516179568,38.6234904965,63.485920628
144,52.0962336635,57.7964093455,40.8516179568,38.6234904965,63.4969244904
145,52.1026096789,57.8750907397,40.8599886575,38.6322392076,63.6263541141
146,52.1104186392,57.8929016583,40.8677976179,38.6431582635,63.6341630744
147,52.1326310857,57.9971874119,40.8900100643,38.66537071,63.8238039473
148,52.1359374029,58.0191264533,40.8943168223,38.6686770272,63.8271102645
149,52.1381256775,58.0943173439,40.8943277468,38.6708653018,63.8862864401
150,52.1609998891,58.1281260021,40.9216352464,38.6937395134,64.0262898715
151,52.1953977882,58.1685849517,40.9216352464,38.7281374124,64.074556078
152,52.2236445382,58.1843615436,40.9754448047,38.730637169,64.1003030714
153,52.2236445382,58.1981566298,40.9767372945,38.7310717064,64.1160708869
154,52.2584423596,58.2431021942,40.9864245574,38.7658695278,64.1508687084
155,52.2776945815,58.2623544161,40.9900691953,38.7851217497,64.1701209303
156,52.28273013,58.2673899646,40.9951047438,38.7851217497,64.2163126348
157,52.2915404913,58.2844334637,41.0274661967,38.8026543549,64.2486740878
158,52.3191713323,58.3120643047,41.0550970378,38.8026543549,64.2763049288
159,52.3236881154,58.3292578954,41.0722906285,38.8071711379,64.2934985195
160,52.3236881154,58.3982912734,41.0722906285,38.8071711379,64.3274846963
161,52.3236881154,58.4316050777,41.0931839717,38.8071711379,64.3483780396
162,52.3256016153,58.4389847416,41.0931839717,38.8090846379,64.3483780396
163,52.3270184876,58.4404016139,41.0931839717,38.8090846379,64.3497949119
164,52.3270184876,58.5257287641,41.101742933,38.8090846379,64.3583538732
165,52.3362153765,58.5499997658,41.1025813974,38.8182815268,64.3591923376
166,52.3362153765,58.5499997658,41.1025813974,38.8182815268,64.4201696187
167,52.3404993412,58.6561667488,41.124919303,38.8225654915,64.5388505129
168,52.3511505893,58.6987927207,41.1344238704,38.8320700589,64.5483550803
169,52.3719232711,58.7195654025,41.1540898727,38.8517360612,64.5691277621
170,52.3719232711,58.7195654025,41.1587411517,38.8517360612,64.5737790412
171,52.3905147013,58.7666418419,41.17931256,38.8703274914,64.6208554805
172,52.4762539012,58.9569312115,41.273539803,38.9560666913,64.7150827236
173,52.4762539012,58.9683523969,41.273539803,38.9560666913,64.7150827236
174,52.4762539012,58.9683523969,41.273539803,38.9560666913,64.7505015185
175,52.4807564668,58.9843708978,41.3590158763,38.9662106978,64.8418520861
176,52.4807564668,58.9911640432,41.362680822,38.9693388975,64.8455170318
177,52.500634696,59.0192384374,41.3907552162,38.9892171268,64.8981408734
178,52.508269117,59.0509344012,41.4065065209,38.9892171268,64.8981408734
179,52.5311677464,59.0887514715,41.4507022804,38.9892171268,64.9149612892
180,52.5486231377,59.112998931,41.4622138129,39.0113535157,64.9380683476
181,52.5612994854,59.1343398874,41.4748901606,39.0240298634,64.9420441519
182,52.5706625455,59.1390636898,41.4994910546,39.0333929235,64.9712843036
183,52.6062591315,59.1746602757,41.5163499106,39.0689895095,65.0245666374
184,52.6175670293,59.1934492355,41.5310186552,39.0802974074,65.0358745353
185,52.6365645039,59.204646592,41.5422160117,39.0992948819,65.0470718918
186,52.660695024,59.2341591381,41.5422160117,39.1234254021,65.0765844378
187,52.660695024,59.2583865326,41.5422160117,39.1234254021,65.0765844378
188,52.678593548,59.2814169943,41.5666875408,39.1478969312,65.1061879047
189,52.7247841425,59.3160649109,41.6165681493,39.1642076743,65.1521475849
190,52.7331502114,59.3160649109,41.6252683847,39.1725737432,65.1608478202
191,52.7331502114,59.3230834418,41.6252683847,39.1725737432,65.1608478202
192,52.7354408411,59.4266002026,41.6293278726,39.1748643729,65.201755546
193,52.7400847737,59.4658421622,41.6685698322,39.2141063324,65.2409975056
194,52.7400847737,59.480239011,41.6685698322,39.2141063324,65.2409975056
195,52.7917888332,59.554641063,41.696881274,39.2613496181,65.2927015651
196,52.7952051732,59.5607406758,41.7088709247,39.2647659581,65.2988011779
197,52.7963059827,59.5855698126,41.7630841743,39.2658667676,65.3236303147
198,52.7980812046,59.5873450346,41.7648593963,39.2676419895,65.3254055367
199,52.807483625,59.5967474549,41.7648593963,39.2770444099,65.334807957
