Time(Iteration),CAB_original,CAB_cbj+cbij
162,55.8111272271,64.8453546326
163,55.8630817989,64.8973092045
164,55.8630817989,64.9303442639
165,55.8706429502,65.014910425
166,55.8706429502,65.030808455
167,55.9091018397,65.0822946309
168,55.9114032498,65.0960894838
169,55.9304251883,65.1151114222
170,55.9573364813,65.2032291292
171,55.9781316309,65.2240242787
172,55.9978921457,65.2437847936
173,56.0317998547,65.2944445125
174,56.0608004074,65.3290767276
175,56.1384060505,65.3290767276
176,56.1425536839,65.3372080657
177,56.1670743415,65.3607679496
178,56.2232546032,65.4518409004
179,56.2258975223,65.4756597248
180,56.2696142897,65.5173293532
181,56.280346416,65.5280614796
182,56.2845028781,65.5322179416
183,56.299666819,65.6328364927
184,56.299666819,65.6328364927
185,56.2999875758,65.6331572496
186,56.3243425857,65.6575122595
187,56.3315353543,65.6979708083
188,56.3394357339,65.7058711879
189,56.3394357339,65.7090134349
190,56.3502634647,65.7198411656
191,56.3697350679,65.8340147916
192,56.3697350679,65.8935427177
193,56.4150649167,65.8935427177
194,56.424743065,66.0812062488
195,56.4333636876,66.1126877709
196,56.444242753,66.1548338954
197,56.520681721,66.1548338954
198,56.5353996376,66.2290538711
199,56.5353996376,66.2290538711
