Time(Iteration),CAB_2_3CoTheta,CAB_originalCoTheta,CAB_5_6CoTheta,CAB_optimalCoTheta,,,,,,
42,0.507520428017,0.534429554212,0.532280289453,0.52095368438,,,,,,
43,0.499864793334,0.529241321326,0.525678307773,0.513522261827,,,,,,
44,0.497623264622,0.527455926644,0.5236406563,0.511486919912,,,,,,
45,0.492799329823,0.522866049548,0.516626569837,0.502743611858,,,,,,
46,0.490988621221,0.517937298015,0.514027077222,0.498387188874,,,,,,
47,0.487341868644,0.515578805828,0.50413069159,0.494008258373,,,,,,
48,0.480114127796,0.503350143319,0.498595370523,0.488247143605,,,,,,
49,0.477196741316,0.501225810434,0.495171793436,0.482324973246,,,,,,
50,0.475785831573,0.49895488299,0.492116857596,0.48106705641,,,,,,
51,0.472767737222,0.4969847907,0.489874157511,0.474090342885,,,,,,
52,0.466811802751,0.492741706454,0.485296166856,0.469633279124,,,,,,
53,0.460321163596,0.488082001647,0.47582136795,0.465583816603,,,,,,
54,0.459790365556,0.485004516815,0.474777539289,0.46296583588,,,,,,
55,0.458827804925,0.480613775795,0.473785152351,0.456883260236,,,,,,
56,0.457762877484,0.479800343798,0.471715234248,0.455878071338,,,,,,
57,0.454983511268,0.478668026429,0.467466116126,0.455164273017,,,,,,
58,0.451691648007,0.477551022819,0.466883425319,0.454680977187,,,,,,
59,0.445591591012,0.47613635372,0.464757838795,0.452074759335,,,,,,
60,0.443316978778,0.474984413459,0.462873357472,0.451271952455,,,,,,
61,0.438784655967,0.47321244212,0.461362664025,0.449810272344,,,,,,
62,0.437431675744,0.471481266141,0.459024493986,0.446583867971,,,,,,
63,0.435735170086,0.469267585299,0.456559336123,0.442868042523,,,,,,
64,0.434522048262,0.468396190723,0.455251797365,0.441966079817,,,,,,
65,0.432550318097,0.46707930374,0.454010241574,0.44103840183,,,,,,
66,0.43015254212,0.464092660565,0.449726530227,0.439324917928,,,,,,
67,0.429214995575,0.462298236801,0.448823845047,0.436826508139,,,,,,
68,0.428697053705,0.46176275815,0.448016252148,0.435634893512,,,,,,
69,0.427632964982,0.456451772331,0.446154020137,0.434360296678,,,,,,
70,0.425151469318,0.455162942444,0.443968664248,0.43313161503,,,,,,
71,0.422503043037,0.454208137956,0.440895551144,0.432099765029,,,,,,
72,0.421496232,0.45332247695,0.43972228063,0.430503953367,,,,,,
73,0.419581674238,0.452636797165,0.437054887391,0.428923708589,,,,,,
74,0.418586683227,0.452571159214,0.436344564126,0.428861882811,,,,,,
75,0.41773615478,0.446472461784,0.432863098353,0.422424230128,,,,,,
76,0.417482353495,0.444821367532,0.432499907026,0.420601144081,,,,,,
77,0.417099194418,0.444422471945,0.431087486385,0.41564019938,,,,,,
78,0.415402655806,0.443167806803,0.429733698743,0.413488879865,,,,,,
79,0.408867584136,0.436878590057,0.426697347583,0.411548639414,,,,,,
80,0.405306219123,0.436571361359,0.426024607857,0.411443375714,,,,,,
81,0.405011331904,0.432718313855,0.42579856971,0.411338368486,,,,,,
82,0.401818319636,0.431865435607,0.42090846753,0.404775688912,,,,,,
83,0.399946344636,0.42840418401,0.418402763243,0.403647710418,,,,,,
84,0.399095208075,0.426254003732,0.416955251133,0.402670771214,,,,,,
85,0.398530900815,0.424533109351,0.412377484399,0.401539629522,,,,,,
86,0.39721843217,0.420217907399,0.410057738387,0.400773047857,,,,,,
