Time(Iteration),CAB_full,CAB_cbj,CAB_original,CAB_cbij,LinUCB
65,56.8544356728,50.3512695224,53.8659724538,53.9331138133,50.8213618785
66,57.2274083566,50.6803892421,54.1472172206,54.2813958428,51.026449185
67,57.3162099675,50.7646907529,54.2398676662,54.3311697479,51.0587360611
68,57.4105434337,50.8070313392,54.3652016389,54.477839103,51.1863080385
69,57.5069189201,50.8730114326,54.4615771253,54.5952256171,51.293566814
70,57.7146825214,51.1477156186,54.5358407078,55.0111874564,51.5833079905
71,57.9077546197,51.2656049783,54.6431150606,55.1828812615,51.6921976104
72,58.0990556215,51.5650313914,54.8342487522,55.311121595,51.8439357124
73,58.1699979516,51.608950259,54.8781676198,55.4241386198,51.9426548345
74,58.3210747463,51.6539729989,54.996027078,55.5891080272,52.020894911
75,58.5786687976,51.8982813739,55.0887454138,55.8424449536,52.0833935443
76,58.6964661815,52.0215721775,55.1435131767,55.9656586967,52.1742343417
77,58.7181942613,52.0288437343,55.267822198,56.0863609426,52.1983649342
78,58.8260001781,52.0792786868,55.3237830382,56.156009065,52.2807505618
79,59.1495517602,52.3872911931,55.467724426,56.44508174,52.4267007318
80,59.3497184103,52.6523168267,55.5117858488,56.6844767871,52.6768819636
81,59.3808696763,52.7840094996,55.5429371148,56.7059816673,52.6897092932
82,59.4248462208,52.8249846574,55.5705750047,56.8093501433,52.7372876496
83,59.4333173848,52.9505072412,55.6684940636,56.8606340092,52.7412130604
84,59.530959149,52.9505072412,55.6684940636,56.9059026407,52.8320766148
85,59.530959149,52.9505072412,55.7575351274,56.9663691741,52.8320766148
