Time(Iteration),CAB_decrease,CAB_original,CAB_increase,CAB_optimal,LinUCB
65,34.5251349143,66.6500391717,58.782423651,34.1806374208,59.5830786979
66,34.5975147611,66.7675452077,58.8908793493,34.2530172676,59.737756147
67,34.6645103221,66.8580071326,58.9578749103,34.3200128286,59.7744046789
68,34.7416143307,66.9099513622,58.9878157163,34.3971168372,59.8471200717
69,34.7954932325,67.2629635222,59.0346047913,34.450995739,60.0742050497
70,34.8773539235,67.3419544481,59.0596269819,34.53285643,60.135167627
71,34.9662507563,67.4492827388,59.086714508,34.5992131739,60.1863360639
72,34.9899766456,67.4930322025,59.1228017743,34.6229390631,60.1885500155
73,35.0013315151,67.516071111,59.162109217,34.6342939327,60.2554699674
74,35.0013315151,67.5582486067,59.162109217,34.6374623627,60.420106073
75,35.0013315151,67.7532937918,59.162109217,34.6374623627,60.4785643126
76,35.0201066667,67.8048964959,59.170806544,34.7607335423,60.4819417452
77,35.0357832883,67.8329816118,59.1946640077,34.7764101638,60.5679104506
78,35.037799175,67.8426956562,59.1966798944,34.7784260506,60.5941220202
79,35.054372997,67.8626253357,59.2132537165,34.7949998726,60.5995722123
80,35.1408370375,68.050205384,59.2143425647,34.7960887209,60.6006610606
81,35.2504665689,68.0711212993,59.3471278064,34.9057182522,60.7014451836
82,35.3616154019,68.1549972683,59.4151251325,35.0168670852,60.7969231817
83,35.4024994071,68.1593185801,59.4194464443,35.0577510904,60.9838476279
84,35.4453248956,68.1911521401,59.4425381574,35.1109301253,61.0156811879
85,35.4877286313,68.2363285055,59.4643399407,35.1491640364,61.1284136391
