Time(Iteration),CAB,CAB_nodecide,CAB_noupdate,CAB_original,LinUCB
39,14.1890915296,14.1890915296,38.183197962,49.7089301025,54.5647306639
40,14.2060974405,14.2060974405,38.2703355896,50.1094097275,54.7558134795
41,14.2106933013,14.2106933013,38.4280320965,50.5949850982,55.1928137543
42,14.2136297612,14.2136297612,38.6163400017,50.9435911862,55.4039572357
43,14.2291068555,14.2291068555,38.6684346833,51.1128428828,55.7408794899
44,14.2394124317,14.2394124317,38.6878284205,51.3492342836,55.810854537
45,14.244120563,14.244120563,38.7538147034,51.4713425497,55.9100235615
46,14.2474137867,14.2474137867,38.8580077272,51.6429219284,56.0600072741
47,14.2559665856,14.2559665856,38.8580077272,51.8221455531,56.1957837027
48,14.2605624465,14.2605624465,38.896353059,52.0986203245,56.4537618779
49,14.2729058738,14.2729058738,39.1392388495,52.3652590971,56.7524125715
50,14.2758669449,14.2758669449,39.1694214239,52.5056091636,56.795414261
51,14.288568702,14.288568702,39.4031506865,52.7121696593,56.9652340537
52,14.308584736,14.308584736,39.5272923757,52.8288662237,57.271827391
53,14.308584736,14.308584736,39.6002818635,52.9127470168,57.3418497079
54,14.32151866,14.32151866,39.6444043653,52.9378356069,57.5453655698
55,14.3377003708,14.3377003708,39.6765628951,53.1745129395,57.7425506301
56,14.3384449119,14.3384449119,39.7305339298,53.3168228996,57.7839628438
57,14.3414489123,14.3414489123,39.7718407892,53.3845061921,57.827024014
58,14.3670890144,14.3670890144,39.8280499379,53.4585350619,57.9602509415
59,14.3797244794,14.3797244794,39.928657924,53.6694044361,58.1364789126
60,14.4034275508,14.4034275508,40.0156175728,53.7501942235,58.2473040312
61,14.408210026,14.408210026,40.079070563,53.8767413122,58.307219131
62,14.4123828517,14.4123828517,40.1378891645,54.0963434984,58.4903968204
63,14.4138718117,14.4138718117,40.2846085767,54.2226335176,58.6207030749
64,14.4182715298,14.4182715298,40.4397593055,54.3854312716,58.8187149692
65,14.4218632256,14.4218632256,40.461085913,54.5603849942,58.8632670547
66,14.4218632256,14.4218632256,40.6024114359,54.5891422624,58.8920243229
67,14.4350901553,14.4350901553,40.649518097,54.6230219938,59.0442493007
68,14.4350901553,14.4350901553,40.6630223328,54.6892742785,59.2586808072
69,14.4385898317,14.4385898317,40.7448477072,54.804763142,59.4582160303
70,14.4385898317,14.4385898317,40.83111719,54.9962309966,59.4667046531
71,14.4385898317,14.4385898317,40.83111719,55.1029835308,59.5597235054
72,14.4454746637,14.4454746637,40.8501707165,55.1220370573,59.5787770319
73,14.4454746637,14.4454746637,40.9060355621,55.1519263837,59.6615543724
74,14.4588425287,14.4588425287,40.9451060853,55.2873997649,59.8034083466
75,14.4588425287,14.4588425287,40.9549982699,55.3703795149,59.9274662242
76,14.4612569712,14.4612569712,41.0016199402,55.4244891497,60.0413599545
77,14.4612569712,14.4612569712,41.0016199402,55.4667331402,60.2819408398
78,14.4612569712,14.4612569712,41.048417445,55.5021711255,60.3300534995
79,14.4634939222,14.4634939222,41.0546540229,55.5790364274,60.3362900774
80,14.4634939222,14.4634939222,41.0546540229,55.6373373607,60.4445147362
81,14.4674851756,14.4674851756,41.1215116435,55.7170155541,60.5023947159
82,14.4754591981,14.4754591981,41.1454290763,55.7456492404,60.6065814114
83,14.4967157929,14.4967157929,41.1507164717,55.753269984,60.6248945835
84,14.4967157929,14.4967157929,41.1642373606,55.8175117133,60.7215007327
85,14.4967157929,14.4967157929,41.2560050653,55.8305470092,60.8132684374
86,14.5038656962,14.5038656962,41.2753044449,55.9360797586,60.8310623615
87,14.5115571168,14.5115571168,41.3117147327,56.1983225527,60.9056003049
88,14.5115571168,14.5115571168,41.432051732,56.2790922876,61.3026065345
89,14.5115571168,14.5115571168,41.438242525,56.2806197865,61.3267753347
90,14.5480111947,14.5480111947,41.4776783334,56.3097814618,61.3656464965
91,14.5480111947,14.5480111947,41.4829428165,56.315045945,61.4083141493
92,14.5508546939,14.5508546939,41.6715721074,56.4278001438,61.5443244678
93,14.5576207714,14.5576207714,41.7119869257,56.465816251,61.5900218519
94,14.5576207714,14.5576207714,41.7961325647,56.6688999521,61.6167328501
95,14.5727082667,14.5727082667,41.8800509412,56.7029846769,61.8298824732
96,14.5750366125,14.5750366125,41.9062996597,56.7174215642,61.9335059688
97,14.5750366125,14.5750366125,41.9062996597,56.7174215642,61.9335059688
98,14.5774836579,14.5774836579,41.9130253714,56.7241472759,61.9402316805
99,14.5774836579,14.5774836579,41.9561401251,56.8010377897,62.0458214173
100,14.6035222813,14.6035222813,41.9821787485,56.8050866281,62.05807259
101,14.6049741859,14.6049741859,41.9967405067,56.8065385326,62.0595244945
102,14.6083564485,14.6083564485,42.0042331085,56.8939331561,62.0725179991
103,14.6342936953,14.6342936953,42.0236421821,57.0917137229,62.1333054798
104,14.6379060483,14.6379060483,42.1127113795,57.2577569896,62.2507243045
105,14.6433574454,14.6433574454,42.1705765844,57.3752483603,62.3682156752
106,14.6433574454,14.6433574454,42.1971965687,57.4675849001,62.4054195454
107,14.661555476,14.661555476,42.2185599606,57.5026083304,62.6036315386
108,14.661555476,14.661555476,42.2543605573,57.60720397,62.6732680982
109,14.661555476,14.661555476,42.2659061662,57.6117510771,62.6778152052
110,14.661555476,14.661555476,42.3177207735,57.6429626854,62.7205775425
111,14.6911591493,14.6911591493,42.3496607315,57.730237511,62.766484816
112,14.7024782673,14.7024782673,42.3772536872,57.7916185454,62.8284065539
113,14.7024782673,14.7024782673,42.4601911575,57.9869760988,62.9113440242
114,14.7078068082,14.7078068082,42.4878588218,58.0146437631,62.9686741155
115,14.710834858,14.710834858,42.4908845516,58.0855383877,62.9716998452
116,14.7123930614,14.7123930614,42.5240593567,58.1187131928,63.1865076723
117,14.720589261,14.720589261,42.5322555563,58.132374571,63.2157004273
118,14.7520431192,14.7520431192,42.5798639835,58.3107174431,63.2641874883
119,14.7659685608,14.7659685608,42.605252165,58.4137156711,63.2662595724
120,14.7659685608,14.7659685608,42.6635937972,58.4882368619,63.3918323655
121,14.7692901815,14.7692901815,42.7022991336,58.4961621871,63.4178123863
122,14.7715561532,14.7715561532,42.7045651054,58.4989928658,63.503078779
123,14.7772465126,14.7772465126,42.7310735134,58.6966542837,63.5146187107
124,14.7772465126,14.7772465126,42.7424935777,58.7324196428,63.5190763171
125,14.7772465126,14.7772465126,42.7424935777,58.7366742371,63.5190763171
126,14.7772465126,14.7772465126,42.7762881221,58.7742150128,63.5595710717
127,14.7772465126,14.7772465126,42.8020286959,58.7742150128,63.5853116456
128,14.7776956698,14.7776956698,42.8032927948,58.7746641699,63.6063552003
129,14.7776956698,14.7776956698,42.8265717846,58.8821908077,63.6274763798
130,14.7855009602,14.7855009602,42.834377075,58.9259699259,63.6537954245
131,14.7878658609,14.7878658609,42.8367419757,58.9815723098,63.6791873671
132,14.7878658609,14.7878658609,42.9314272976,58.998835264,63.889629618
133,14.8046967182,14.8046967182,42.9398053146,59.007213281,63.8955225642
134,14.8046967182,14.8046967182,42.9525388092,59.0253440165,63.9639322689
135,14.818728158,14.818728158,42.966570249,59.0882953383,63.9811278633
136,14.8267670959,14.8267670959,42.9791034782,59.1008285675,63.9811278633
137,14.8313675901,14.8313675901,42.9951895775,59.1167496148,64.0103118626
138,14.8313675901,14.8313675901,43.0994258381,59.3136120587,64.1924096723
139,14.9139546526,14.9139546526,43.2080024439,59.4194015582,64.2989886383
140,14.9139546526,14.9139546526,43.2144837394,59.4401337663,64.3016652478
141,14.9162047485,14.9162047485,43.223061218,59.444433386,64.317163594
142,14.9162047485,14.9162047485,43.223061218,59.444433386,64.3274302872
143,14.9201999567,14.9201999567,43.2378435499,59.5010886257,64.3476899292
144,14.9246878956,14.9246878956,43.2423314888,59.5055765646,64.3521778682
145,14.9248612722,14.9248612722,43.2500419946,59.5057499413,64.359888374
146,14.9248612722,14.9248612722,43.2500419946,59.5057499413,64.359888374
147,14.9248612722,14.9248612722,43.4754393474,59.6962698972,64.5504083299
148,14.9336279333,14.9336279333,43.4984332714,59.7284362702,64.5952071254
149,14.9336279333,14.9336279333,43.5053502122,59.7520804135,64.6059672577
150,14.9394612624,14.9394612624,43.5678971518,59.7579137426,64.6626808681
151,14.9394612624,14.9394612624,43.5678971518,59.762157295,64.681567533
152,14.9394612624,14.9394612624,43.5897666792,59.8634521765,64.7034370604
153,14.9433618257,14.9433618257,43.5925908073,59.947037942,64.7073376237
154,14.9433618257,14.9433618257,43.5948216109,59.9754974899,64.7357971716
155,14.9491516677,14.9491516677,43.6150764997,60.007687146,64.7604560623
156,14.9566039919,14.9566039919,43.6225288239,60.1043878134,64.7679083864
157,14.9595805823,14.9595805823,43.6225288239,60.1043878134,64.7679083864
158,14.9595805823,14.9595805823,43.6690070041,60.123648846,64.8757273216
159,14.9595805823,14.9595805823,43.6690070041,60.2307327036,64.9209239853
160,14.9595805823,14.9595805823,43.6690070041,60.2307327036,64.9209239853
161,14.9595805823,14.9595805823,43.7018739759,60.2635996754,65.0181753879
162,14.9595805823,14.9595805823,43.724394644,60.3436757181,65.0808247842
163,14.9657201119,14.9657201119,43.7807580286,60.4068948928,65.1371881688
164,14.9657201119,14.9657201119,43.7807580286,60.4068948928,65.1409630007
165,14.9784330573,14.9784330573,43.8713110195,60.4125465429,65.154430757
166,14.9784330573,14.9784330573,43.8713110195,60.4125465429,65.154430757
167,14.9836641355,14.9836641355,43.872284092,60.4293407523,65.1844458022
168,14.9892222788,14.9892222788,43.8778422353,60.4367949329,65.3277903059
169,14.9991166395,14.9991166395,43.9007013913,60.5066751842,65.3451885509
170,14.9991166395,14.9991166395,43.9007013913,60.5066751842,65.3451885509
171,14.9992388667,14.9992388667,43.9116821358,60.5642269841,65.3576790952
172,14.9992388667,14.9992388667,43.9116821358,60.567018623,65.3604707341
173,14.9992388667,14.9992388667,43.920193742,60.5943089637,65.4179718204
174,15.0050307118,15.0050307118,43.9259855872,60.6262328124,65.4237636655
175,15.0050307118,15.0050307118,43.9259855872,60.6820550933,65.4566270364
176,15.0050307118,15.0050307118,43.9259855872,60.6820550933,65.4665396983
177,15.0081803368,15.0081803368,43.9485524681,60.7355357132,65.5348597847
178,15.0512568149,15.0512568149,43.9845026003,60.8184186,65.5830367259
179,15.0607818702,15.0607818702,43.9946604515,60.8388067317,65.5995522999
180,15.0607818702,15.0607818702,44.008060579,60.8388067317,65.6368737765
181,15.0607818702,15.0607818702,44.0094676644,60.8402138172,65.6447468872
182,15.0621056842,15.0621056842,44.0107914784,60.8456106922,65.6460707011
183,15.0621056842,15.0621056842,44.0122896781,60.8475583951,65.6480184041
184,15.0621056842,15.0621056842,44.0122896781,60.8536667135,65.6579356658
185,15.0621056842,15.0621056842,44.0279360088,60.8536667135,65.6735819966
186,15.0640863305,15.0640863305,44.0315808595,60.8573115642,65.675562643
187,15.0800545947,15.0800545947,44.0426232085,60.8929123352,65.6866049919
188,15.0800545947,15.0800545947,44.0463165345,60.8966056612,65.6902983179
189,15.0800545947,15.0800545947,44.0463165345,60.8966056612,65.694239915
190,15.0800545947,15.0800545947,44.05279783,60.9113238644,65.7089581182
191,15.0800545947,15.0800545947,44.05279783,60.9298387047,65.7089581182
192,15.0809935888,15.0809935888,44.0884377396,60.9654786143,65.7320037296
193,15.0809935888,15.0809935888,44.1004663372,61.0011307783,65.7850738347
194,15.0818801742,15.0818801742,44.1004663372,61.0035729367,65.7850738347
195,15.0818801742,15.0818801742,44.1004663372,61.0035729367,65.7850738347
196,15.0866920754,15.0866920754,44.104496735,61.0168803614,65.7891042325
197,15.0866920754,15.0866920754,44.1157606972,61.0281443237,65.794742181
198,15.0866920754,15.0866920754,44.1157606972,61.0281443237,65.8231510275
199,15.0866920754,15.0866920754,44.1254579451,61.0378415716,65.8332220481
