Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB,CAB_cbj,CAB_cbij
62,57.3034216544,14.907295077,38.3813596115,62.0827162136,22.6721599996,22.8912642943
63,57.4395916201,14.9362941862,38.4369845316,62.1422819999,22.6934963647,22.9126006594
64,57.446686056,14.9400979669,38.4440789674,62.1460857806,22.6973001454,22.9196950952
65,57.6881088318,14.9473339348,38.5610410143,62.2953030313,22.7464886366,22.9246772865
66,57.765113315,14.987585346,38.6815312397,62.4138912667,22.7567446729,22.9349333227
67,58.0606631678,14.9926693543,38.8085313946,62.6609704162,22.7753644031,22.9542766114
68,58.1994523337,15.0171992824,38.9470189056,63.1102426383,22.7890567092,22.9542766114
69,58.5386988397,15.0770638852,39.0725972022,63.1908345653,22.805010478,22.9542766114
70,58.5882018481,15.0854150881,39.1348520334,63.2693212117,22.8261135036,22.9669233971
71,58.7477812045,15.1066609298,39.3146121368,63.5858618499,22.8473593453,22.9881692388
