Time(Iteration),CAB_cbj,CAB_original,CAB_optimal,LinUCB
84,17.3900320001,61.8031613856,35.3506946753,56.4119649083
85,17.3915810009,61.948769707,35.398846958,56.4698129083
86,17.455208385,62.1533039016,35.515627053,56.7278975822
87,17.4942733916,62.1770075106,35.6101155673,56.8423886105
88,17.5222537419,62.2060288888,35.6433571172,57.0252805752
89,17.5686078276,62.3176411669,35.6798623882,57.0674151813
90,17.5686078276,62.3176411669,35.6798623882,57.2629599873
91,17.5756841531,62.4290747532,35.837194223,57.3978620927
92,17.6174425852,62.4693367705,35.8916020729,57.5035728071
93,17.6558574795,62.5093101949,35.9200078265,57.6132069221
94,17.6558574795,62.6587949909,35.9200078265,57.7451865747
95,17.6689578657,62.6781099019,35.9760501586,57.8066899905
96,17.6717731583,62.7453700257,36.0117306662,57.8520173464
97,17.6941778623,62.7879338112,36.0831060853,58.0291438919
98,17.6976112417,62.8887915802,36.1038392943,58.0836755605
99,17.6976112417,62.9392374598,36.1563152274,58.1341214401
100,17.6976112417,62.9785727651,36.2093206595,58.2003235444
101,17.6976112417,63.1937846391,36.2538914034,58.3191508752
102,17.6976112417,63.2401731644,36.321436787,58.3910391838
103,17.6980827301,63.3288033646,36.3750210496,58.4566613742
104,17.7148567208,63.465793332,36.4255486765,58.5703028674
105,17.7282571432,63.5527232555,36.4446519525,58.6653894115
